customerID,customer_fname,customer_lname,customer_email,customer_city,customer_state,customer_country,customer_zip,market,region
1,Richard,Hernandez,XXXXXXXXX,Brownsville,TX,EE. UU.,78521.0,Pacific Asia,
2,Mary,Barrett,XXXXXXXXX,Littleton,CO,EE. UU.,80126.0,LATAM,
3,Ann,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
4,Mary,Jones,XXXXXXXXX,San Marcos,CA,EE. UU.,92069.0,Pacific Asia,
5,Robert,Hudson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Africa,
6,Mary,Smith,XXXXXXXXX,Passaic,NJ,EE. UU.,7055.0,LATAM,
7,Melissa,Wilcox,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
8,Megan,Smith,XXXXXXXXX,Lawrence,MA,EE. UU.,1841.0,Pacific Asia,
9,Mary,Perez,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
10,Melissa,Smith,XXXXXXXXX,Stafford,VA,EE. UU.,22554.0,Africa,
11,Mary,Huffman,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
12,Christopher,Smith,XXXXXXXXX,San Antonio,TX,EE. UU.,78227.0,Africa,
13,Mary,Baldwin,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
14,Katherine,Smith,XXXXXXXXX,Pico Rivera,CA,EE. UU.,90660.0,Pacific Asia,
15,Jane,Luna,XXXXXXXXX,Fontana,CA,EE. UU.,92336.0,Pacific Asia,
16,Tiffany,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
17,Mary,Robinson,XXXXXXXXX,Taylor,MI,EE. UU.,48180.0,LATAM,
18,Robert,Smith,XXXXXXXXX,Martinez,CA,EE. UU.,94553.0,LATAM,
19,Stephanie,Mitchell,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
20,Mary,Ellis,XXXXXXXXX,West New York,NJ,EE. UU.,7093.0,Europe,
21,William,Zimmerman,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
22,Joseph,Smith,XXXXXXXXX,North Bergen,NJ,EE. UU.,7047.0,Pacific Asia,
23,Benjamin,Duarte,XXXXXXXXX,San Juan,PR,Puerto Rico,921.0,LATAM,
24,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
25,Paul,Richardson,XXXXXXXXX,Peoria,AZ,EE. UU.,85345.0,USCA,
26,Johnny,Hood,XXXXXXXXX,Glenview,IL,EE. UU.,60025.0,Pacific Asia,
27,Mary,Vincent,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
28,Timothy,Smith,XXXXXXXXX,Longview,WA,EE. UU.,98632.0,Pacific Asia,
